date,open,high,low,close,volume,Daily percent change
4/3/2012,43.4678,43.5797,42.9234,43.1695,4550600,-0.006909971
4/4/2012,42.9308,43.2366,42.5206,43.1247,5985600,0.004496263
4/5/2012,43.2739,43.699,43.0278,43.0502,7552500,-0.005196259
4/9/2012,42.3714,43.0352,42.3192,42.901,5058800,0.012344701
4/10/2012,42.6996,42.7816,41.9239,42.0656,6011100,-0.015071698
4/11/2012,42.3341,42.7071,42.3341,42.6623,4447700,0.007692975
4/12/2012,42.6176,43.2441,42.5281,43.2068,4081000,0.013636742
4/13/2012,43.1247,43.3037,42.8115,42.8339,4509800,-0.006789015
4/16/2012,42.9234,43.0129,42.6176,42.804,4180600,-0.002789459
4/17/2012,42.8861,43.1024,42.8189,42.9607,3727300,0.001736471
4/18/2012,42.9084,42.9756,42.7742,42.7966,2948400,-0.002612357
4/19/2012,42.8861,42.9532,42.267,42.3565,3702900,-0.012503394
4/20/2012,42.4609,42.804,42.3043,42.722,3609700,0.006111605
4/23/2012,42.5131,42.5504,41.9239,42.2446,3559000,-0.006355842
4/24/2012,42.3863,42.5504,42.0731,42.3118,3357200,-0.001760738
4/25/2012,42.5057,42.722,42.2073,42.3863,3518700,-0.002816948
4/26/2012,42.4236,43.0725,42.364,42.8786,3570700,0.010611354
4/27/2012,42.9905,43.7214,42.7444,43.4529,4263700,0.010641407
4/30/2012,43.3037,43.4529,42.8711,43.2142,3920000,-0.002071078
5/1/2012,42.8264,43.5424,42.6176,43.2664,4872300,0.010169554
5/2/2012,43.1098,43.2441,42.4982,43.2441,7562500,0.003105626
5/3/2012,42.9084,43.0203,41.9165,42.1775,11344300,-0.017329145
5/4/2012,41.8643,42.0806,41.4093,41.5063,5671300,-0.008625197
5/7/2012,41.5435,41.8866,41.5137,41.5883,3031200,0.001077226
5/8/2012,41.3645,41.5361,40.9842,41.4317,3062500,0.001621946
5/9/2012,41.2303,41.4988,41.0438,41.2303,2901600,0
5/10/2012,41.5063,41.5659,40.9916,41.2527,3462600,-0.006147476
5/11/2012,41.1482,41.8493,41.1035,41.3422,3942400,0.004692542
5/14/2012,41.178,41.6505,41.118,41.1855,4174600,0.000182103
5/15/2012,41.133,41.613,41.133,41.3055,4383900,0.004176199
5/16/2012,41.8905,42.3329,41.343,41.4855,9027300,-0.009762447
5/17/2012,41.448,41.628,41.0056,41.103,6045500,-0.008393548
5/18/2012,41.298,41.9955,41.178,41.5905,7144300,0.007032856
5/21/2012,41.568,41.9205,41.193,41.868,4779400,0.007165377
5/22/2012,41.913,42.6704,41.853,42.4979,5777400,0.013763033
5/23/2012,42.1754,42.6629,41.9505,42.5804,3956300,0.009511418
5/24/2012,42.6404,43.0378,42.4829,42.9329,4460600,0.006812957
5/25/2012,43.0678,43.2778,42.8729,43.2103,4293900,0.003297825
5/29/2012,43.4203,43.6228,43.0378,43.5928,4792600,0.003957075
5/30/2012,43.3453,43.3753,42.7454,43.3378,7232100,-0.000173059
5/31/2012,43.6453,43.8403,43.3753,43.4278,6856500,-0.005008313
6/1/2012,42.9104,43.0978,42.6329,42.8954,4809900,-0.000349688
6/4/2012,42.9403,43.3453,42.7379,43.1728,6150600,0.005385335
6/5/2012,42.6929,43.1278,42.6929,42.9853,3994100,0.006802325
6/6/2012,43.2028,43.3453,42.9403,43.1203,6650600,-0.001913252
6/7/2012,43.4953,43.4953,42.9478,42.9853,5565600,-0.011864521
6/8/2012,42.9254,44.4327,42.9254,44.3952,6426500,0.033107183
6/11/2012,44.5152,44.5452,43.9452,44.0202,5272900,-0.011244838
6/12/2012,44.0202,44.1702,43.4353,43.6153,5557700,-0.00928344
6/13/2012,43.6528,43.9827,43.3528,43.5328,4732900,-0.002756542
6/14/2012,43.6603,44.1852,43.6003,43.9077,4283300,0.005634547
6/15/2012,44.1852,44.2452,43.6678,43.8702,6014700,-0.007180273
6/18/2012,43.7203,44.0952,43.2778,43.8478,3834200,0.002907786
6/19/2012,43.9377,44.0427,43.6003,44.0202,4519300,0.00187414
6/20/2012,44.0427,44.1477,43.5628,43.8702,3988400,-0.003932054
6/21/2012,43.9602,44.0052,42.9928,43.0453,5399200,-0.021254353
6/22/2012,43.1953,43.3678,43.1053,43.1653,5363300,-0.000695003
6/25/2012,42.9254,43.1203,42.6554,42.9179,3674100,-0.000174752
6/26/2012,42.9403,43.3978,42.9254,43.2178,3493200,0.006420965
6/27/2012,43.0903,43.2628,42.8579,43.1653,3924200,0.001737507
6/28/2012,42.9853,43.1653,42.6854,43.0903,5162600,0.002436743
6/29/2012,43.3903,43.6828,42.6929,43.6378,7682100,0.005671688
7/2/2012,43.7503,43.8478,43.3303,43.6978,4113400,-0.001201433
7/3/2012,43.5103,43.5178,42.9928,43.3303,3649200,-0.004154137
